intensity_columns,cell line,sample
20210224_LP_ALLSIL_R1_2,ALL-SIL,1
20210224_LP_ALLSIL_R2_2,ALL-SIL,2
20210224_LP_ALLSIL_R3,ALL-SIL,3
20210224_LP_ALLSIL_R4,ALL-SIL,4
20210224_LP_ALLSIL_R6,ALL-SIL,5
20210224_LP_CCRFCEM_R1,CCRF-CEM,6
20210224_LP_CCRFCEM_R2_2,CCRF-CEM,7
20210224_LP_CCRFCEM_R3,CCRF-CEM,8
20210224_LP_CCRFCEM_R4,CCRF-CEM,9
20210224_LP_CCRFCEM_R5,CCRF-CEM,10
20210224_LP_CCRFCEM_R6,CCRF-CEM,11
20210224_LP_CUTTL1_R1,CUTTL-1,12
20210224_LP_CUTTL1_R3,CUTTL-1,13
20210224_LP_CUTTL1_R4_2,CUTTL-1,14
20210224_LP_CUTTL1_R5,CUTTL-1,15
20210224_LP_CUTTL1_R6,CUTTL-1,16
20210224_LP_HPBALL_R2,HPB-ALL,17
20210224_LP_HPBALL_R3,HPB-ALL,18
20210224_LP_HPBALL_R4,HPB-ALL,19
20210224_LP_HPBALL_R5,HPB-ALL,20
20210224_LP_HPBALL_R6,HPB-ALL,21
20210224_LP_DND41_R1,DND-41,22
20210224_LP_DND41_R2_2,DND-41,23
20210224_LP_DND41_R3,DND-41,24
20210224_LP_DND41_R4,DND-41,25
20210224_LP_DND41_R5,DND-41,26
20210224_LP_DND41_R6,DND-41,27
20210224_LP_HSB2_R1,HSB-2,28
20210224_LP_HSB2_R2,HSB-2,29
20210224_LP_HSB2_R3,HSB-2,30
20210224_LP_HSB2_R4,HSB-2,31
20210224_LP_HSB2_R5,HSB-2,32
20210224_LP_HSB2_R6,HSB-2,33
20210224_LP_JURKAT_R1,JURKAT,34
20210224_LP_JURKAT_R2,JURKAT,35
20210224_LP_JURKAT_R3,JURKAT,36
20210224_LP_JURKAT_R4,JURKAT,37
20210224_LP_JURKAT_R5,JURKAT,38
20210224_LP_KARPAS45JC_R1,KARPAS-45 JC,39
20210224_LP_KARPAS45JC_R2,KARPAS-45 JC,40
20210224_LP_KARPAS45JC_R3,KARPAS-45 JC,41
20210224_LP_KARPAS45JC_R4,KARPAS-45 JC,42
20210224_LP_KARPAS45JC_R5,KARPAS-45 JC,43
20210224_LP_KARPAS45JC_R6,KARPAS-45 JC,44
20210224_LP_KARPAS45_R1,KARPAS-45,45
20210224_LP_KARPAS45_R2,KARPAS-45,46
20210224_LP_KARPAS45_R3,KARPAS-45,47
20210224_LP_KARPAS45_R4,KARPAS-45,48
20210224_LP_KARPAS45_R5,KARPAS-45,49
20210224_LP_KARPAS45_R6,KARPAS-45,50
20210224_LP_KE37_R1,KE-37,51
20210224_LP_KE37_R2,KE-37,52
20210224_LP_KE37_R3,KE-37,53
20210224_LP_KE37_R4,KE-37,54
20210224_LP_KE37_R5,KE-37,55
20210224_LP_KE37_R6,KE-37,56
20210224_LP_KOPTK_R1_2,KOPTK-1,57
20210224_LP_KOPTK_R2,KOPTK-1,58
20210224_LP_KOPTK_R3_2,KOPTK-1,59
20210224_LP_KOPTK_R4,KOPTK-1,60
20210224_LP_KOPTK_R5,KOPTK-1,61
20210224_LP_KOPTK_R6_2,KOPTK-1,62
20210224_LP_LOUCY_R1,LOUCY,63
20210224_LP_LOUCY_R2,LOUCY,64
20210224_LP_LOUCY_R3_2,LOUCY,65
20210224_LP_LOUCY_R4,LOUCY,66
20210224_LP_LOUCY_R5,LOUCY,67
20210224_LP_MOLT4_R1,MOLT-4,68
20210224_LP_MOLT4_R2,MOLT-4,69
20210224_LP_MOLT4_R3,MOLT-4,70
20210224_LP_MOLT4_R4,MOLT-4,71
20210224_LP_MOLT4_R5,MOLT-4,72
20210224_LP_MOLT4_R6,MOLT-4,73
20210224_LP_MOLT16_R1,MOLT-16,74
20210224_LP_MOLT16_R2,MOLT-16,75
20210224_LP_MOLT16_R3,MOLT-16,76
20210224_LP_MOLT16_R4,MOLT-16,77
20210224_LP_MOLT16_R5,MOLT-16,78
20210224_LP_PEER_R1,PEER,79
20210224_LP_PEER_R2,PEER,80
20210224_LP_PEER_R3,PEER,81
20210224_LP_PEER_R4,PEER,82
20210224_LP_PEER_R6,PEER,83
20210224_LP_PER117_R1,PER-117,84
20210224_LP_PER117_R2,PER-117,85
20210224_LP_PER117_R3,PER-117,86
20210224_LP_PER117_R5,PER-117,87
20210224_LP_PER417_R4,PER-117,88
20210224_LP_PER617_R6,PER-117,89
20210224_LP_PF382_R1_2,PF-382,90
20210224_LP_PF382_R3,PF-382,91
20210224_LP_PF382_R4,PF-382,92
20210224_LP_PF382_R5_2,PF-382,93
20210224_LP_P12ICHIKAWA_R1,P12-ICHIKAWA,94
20210224_LP_P12ICHIKAWA_R2_2,P12-ICHIKAWA,95
20210224_LP_P12ICHIKAWA_R3,P12-ICHIKAWA,96
20210224_LP_P12ICHIKAWA_R4_2,P12-ICHIKAWA,97
20210224_LP_P12ICHIKAWA_R5,P12-ICHIKAWA,98
20210224_LP_P12ICHIKAWA_R6,P12-ICHIKAWA,99
20210224_LP_RPMI8402_R1,RPMI-8402,100
20210224_LP_RPMI8402_R2,RPMI-8402,101
20210224_LP_RPMI8402_R3,RPMI-8402,102
20210224_LP_RPMI8402_R4,RPMI-8402,103
20210224_LP_RPMI8402_R5,RPMI-8402,104
20210224_LP_RPMI8402_R6,RPMI-8402,105
20210224_LP_SUPT11_R1,SUP-T11,106
20210224_LP_SUPT11_R2,SUP-T11,107
20210224_LP_SUPT11_R3,SUP-T11,108
20210224_LP_SUPT11_R5,SUP-T11,109
20210224_LP_SUPT11_R6,SUP-T11,110
20210224_LP_TALL1_R1,TALL-1,111
20210224_LP_TALL1_R2,TALL-1,112
20210224_LP_TALL1_R4,TALL-1,113
20210224_LP_TALL1_R5,TALL-1,114
20210224_LP_TALL1_R6,TALL-1,115
20210224_LP_QC_01,QC,116
20210224_LP_QC_02,QC,117
20210224_LP_QC_03,QC,118
20210224_LP_QC_04,QC,119
20210224_LP_QC_05,QC,120
20210224_LP_QC_06,QC,121
20210224_LP_QC_07,QC,122
20210224_LP_QC_08,QC,123
20210224_LP_QC_09,QC,124
20210224_LP_QC_10,QC,125
